Actual,Greedy_Euclidean,A*_Euclidean,Greedy_Manhattan,A*_Manhattan
[0,1.842765808,3.277863979,1.147763968,1.2515711784362793]
[186,258,258,258,258]
[0,2.496745348,4.876769066,1.125694513,1.287313461303711]
[190,273,273,273,273]
[0,1.771981001,3.54647541,1.066109896,1.161813497543335]
[187,268,268,268,268]
[0,1.573745489,3.029420614,1.018171549,1.128706932067871]
[188,263,263,263,263]
[0,2.119303226,4.194040537,1.088859797,1.2240345478057861]
[191,285,285,285,285]
[0,1.736489534,3.622084856,1.095100641,1.233454942703247]
[189,261,261,261,261]
[0,2.384520531,6.297603846,1.155505657,1.4453001022338867]
[185,253,253,253,253]
[0,1.997028112,3.77423048,1.034040451,1.1686468124389648]
[179,305,305,307,305]
[0,1.853448868,3.480935335,1.17215395,1.2614388465881348]
[189,287,287,291,287]
[0,2.171255827,4.34276104,1.171586275,1.3081727027893066]
[184,262,262,262,262]
[0,1.683560133,3.140633583,1.021796227,1.1257128715515137]
[188,277,277,281,277]
[0,1.899425507,4.049298525,1.129350424,1.2580056190490723]
[189,269,269,269,269]
[0,2.620711088,4.84543252,1.204746485,1.3607897758483887]
[178,237,237,239,237]
[0,1.694519758,3.00164175,0.9598908424,1.0374608039855957]
[186,257,257,257,257]
[0,2.286808014,4.402424574,1.097695589,1.2279415130615234]
[177,283,283,283,283]
[0,1.90854907,3.348088741,1.110287428,1.188873529434204]
[184,266,266,266,266]
[0,2.080078125,4.057564735,1.11165452,1.2358953952789307]
[180,284,284,288,284]
[0,1.880417109,3.842311144,1.124281883,1.2562320232391357]
[186,258,258,258,258]
[0,2.049210548,3.614629745,1.049861908,1.1762537956237793]
[177,255,255,255,255]
[0,1.97347784,3.799731731,1.056976557,1.1817831993103027]
[192,297,297,297,297]
[0,1.735947847,3.447824478,1.131104469,1.2462024688720703]
[191,269,269,269,269]
[0,2.019510508,4.306050539,1.098577738,1.2541306018829346]
[179,258,258,258,258]
[0,2.202522755,3.857887268,1.096643209,1.183903455734253]
[186,260,260,260,260]
[0,1.922202826,3.64035964,1.041093349,1.1684472560882568]
[192,268,268,268,268]
[0,1.936196327,3.773474455,1.088154554,1.21042799949646]
[189,285,285,295,285]
[0,2.396946907,5.440710068,1.247960567,1.3782625198364258]
[190,285,272,283,272]
[0,1.711128473,3.308037996,1.07988596,1.1609621047973633]
[186,269,269,269,269]
[0,1.742815018,3.828078747,1.048843622,1.2142846584320068]
[188,270,268,276,268]
[0,1.912932158,4.337618113,1.097627163,1.2338707447052002]
