Actual,Greedy_Euclidean,A*_Euclidean,Greedy_Manhattan,A*_Manhattan
[0,0.1711006165,0.1985712051,0.1153681278,0.1169588565826416]
[66,83,83,83,83]
[0,0.1387660503,0.1866459846,0.1053807735,0.10852503776550293]
[58,86,86,86,86]
[0,0.1405179501,0.1665477753,0.1092765331,0.1119544506072998]
[65,95,95,95,95]
[0,0.1560761929,0.2102925777,0.1204576492,0.12498688697814941]
[69,77,77,77,77]
[0,0.1130104065,0.1278817654,0.09475779533,0.09679174423217773]
[68,93,93,93,93]
[0,0.1474413872,0.2076480389,0.1170287132,0.12277555465698242]
[65,76,76,76,76]
[0,0.1152696609,0.1335492134,0.09434771538,0.09626197814941406]
[63,81,81,81,81]
[0,0.1259729862,0.149166584,0.1012868881,0.1034996509552002]
[67,85,85,85,85]
[0,0.1390109062,0.1938738823,0.107997179,0.11347484588623047]
[67,86,86,88,86]
[0,0.142901659,0.2011811733,0.1128091812,0.11470150947570801]
[56,79,79,79,79]
[0,0.1210472584,0.1344234943,0.09867358208,0.09978389739990234]
[56,90,90,90,90]
[0,0.1560471058,0.1767060757,0.1142160892,0.11596345901489258]
[64,83,83,83,83]
[0,0.1435885429,0.1910805702,0.1075153351,0.11200833320617676]
[64,74,74,74,74]
[0,0.1168057919,0.1352667809,0.09272503853,0.09543108940124512]
[63,80,80,80,80]
[0,0.1257481575,0.154535532,0.1006486416,0.10285711288452148]
[59,87,87,87,87]
[0,0.1454441547,0.1730806828,0.1113293171,0.11440801620483398]
[65,85,83,85,83]
[0,0.141304493,0.1829857826,0.1081972122,0.1098628044128418]
[66,79,79,79,79]
[0,0.1223363876,0.1407320499,0.09821605682,0.09976005554199219]
[67,86,86,86,86]
[0,0.1463508606,0.1978814602,0.1098117828,0.11379218101501465]
[59,81,81,81,81]
[0,0.1352448463,0.1709561348,0.1030745506,0.1063547134399414]
[64,93,93,93,93]
[0,0.1527218819,0.2033057213,0.1187782288,0.1235802173614502]
[67,83,83,83,83]
[0,0.1268510818,0.1676270962,0.1034288406,0.10634827613830566]
[64,88,88,88,88]
[0,0.1700699329,0.2494184971,0.1160774231,0.12418913841247559]
[65,84,84,87,84]
[0,0.1220414639,0.13027215,0.1067967415,0.10440516471862793]
[60,81,81,81,81]
[0,0.1369552612,0.1677575111,0.1034927368,0.1072235107421875]
[57,81,81,81,81]
[0,0.1388893127,0.1554074287,0.1038613319,0.10500574111938477]
[65,78,78,78,78]
[0,0.1235361099,0.1597549915,0.09818649292,0.1017143726348877]
[54,82,82,82,82]
[0,0.1338911057,0.1410124302,0.1041855812,0.10518026351928711]
[62,87,87,87,87]
[0,0.1680443287,0.1863458157,0.1157209873,0.11628198623657227]
[59,85,85,85,85]
[0,0.156996727,0.1922001839,0.1116578579,0.11469435691833496]
[59,91,91,91,91]
[0,0.135601759,0.148409605,0.1121139526,0.11416983604431152]
[59,95,95,95,95]
[0,0.1908118725,0.2491464615,0.1269426346,0.13072800636291504]
[61,85,85,85,85]
[0,0.1193437576,0.1225702763,0.1030516624,0.10370421409606934]
[64,89,89,89,89]
[0,0.1419734955,0.1799371243,0.1117455959,0.11476445198059082]
[65,83,83,83,83]
[0,0.1394975185,0.1827993393,0.1065814495,0.10967350006103516]
[65,95,95,95,95]
[0,0.1414887905,0.173251152,0.1173696518,0.12044668197631836]
[64,92,92,92,92]
[0,0.1773533821,0.2602148056,0.1217694283,0.12862944602966309]
[59,83,83,83,83]
[0,0.1426076889,0.1925718784,0.1066246033,0.11203455924987793]
[63,89,89,89,89]
[0,0.1486508846,0.1954572201,0.1134388447,0.11681389808654785]
[67,83,83,83,83]
[0,0.1504795551,0.2151181698,0.1081488132,0.11377716064453125]
[61,68,68,68,68]
[0,0.1105728149,0.1376962662,0.08611512184,0.08821678161621094]
[67,94,92,94,92]
[0,0.1603088379,0.2259845734,0.120057106,0.1244962215423584]
[55,83,83,83,83]
[0,0.1333289146,0.1486182213,0.1046442986,0.10598564147949219]
[68,84,82,84,82]
[0,0.1466443539,0.1823875904,0.107624054,0.10801815986633301]
[61,91,91,91,91]
[0,0.1500046253,0.1728796959,0.1152720451,0.1175999641418457]
[62,72,72,72,72]
[0,0.09908628464,0.1037604809,0.08795213699,0.0884404182434082]
[58,81,81,81,81]
[0,0.1370592117,0.1675724983,0.1045372486,0.10679984092712402]
[58,82,82,82,82]
[0,0.1222178936,0.1312804222,0.1022121906,0.10374045372009277]
[62,93,93,93,93]
[0,0.1583371162,0.1953995228,0.1203267574,0.1228480339050293]
[62,79,79,79,79]
[0,0.1383676529,0.1748514175,0.1018738747,0.10464906692504883]
[64,101,101,101,101]
[0,0.1640908718,0.2066178322,0.1273875237,0.1315608024597168]
[63,87,87,87,87]
[0,0.1605985165,0.229654789,0.1130511761,0.1199948787689209]
[61,89,89,89,89]
[0,0.1468777657,0.1778995991,0.1195197105,0.11691474914550781]
[64,81,81,81,81]
[0,0.1489243507,0.2110118866,0.1057887077,0.11196255683898926]
[57,85,85,85,85]
[0,0.1296012402,0.1363406181,0.105786562,0.10707902908325195]
[63,108,108,108,108]
[0,0.1749272346,0.2179749012,0.1354897022,0.1385509967803955]
[69,83,83,83,83]
[0,0.1453838348,0.2111663818,0.1065914631,0.11282777786254883]
[63,88,88,88,88]
[0,0.1335008144,0.1612725258,0.1085951328,0.11130404472351074]
[67,87,87,87,87]
[0,0.1609156132,0.2103960514,0.1137049198,0.11844348907470703]
[64,82,82,82,82]
[0,0.137275219,0.1957769394,0.1044065952,0.11085057258605957]
[63,101,101,101,101]
[0,0.1768889427,0.2353644371,0.1292693615,0.13518333435058594]
[57,83,83,83,83]
[0,0.1263461113,0.1361143589,0.1030678749,0.10400080680847168]
[67,83,83,83,83]
[0,0.141576767,0.1946735382,0.1065924168,0.11135196685791016]
[60,90,90,90,90]
[0,0.1581032276,0.197060585,0.1155211926,0.11849403381347656]
[66,87,87,87,87]
[0,0.1551916599,0.2132818699,0.1118993759,0.11657881736755371]
[57,82,82,82,82]
[0,0.1438500881,0.1695420742,0.1059339046,0.1073601245880127]
[60,79,79,79,79]
[0,0.1423358917,0.1686036587,0.1037707329,0.10588693618774414]
[61,88,88,88,88]
[0,0.157130003,0.1954843998,0.1132893562,0.11716794967651367]
[66,86,86,86,86]
[0,0.1385800838,0.1852374077,0.1088926792,0.11367511749267578]
[62,76,76,76,76]
[0,0.1374385357,0.166580677,0.09887075424,0.10192084312438965]
[62,89,89,89,89]
[0,0.1456792355,0.1809494495,0.113104105,0.1158297061920166]
[61,82,82,82,82]
